Asset,Model,Metric,Value
BTC-USD,Linear Regression,R2,0.9984485851263667
BTC-USD,Linear Regression,MSE,405423.3176882775
BTC-USD,Linear Regression,MAE,357.53465188819797
BTC-USD,Linear Regression,R2,0.9984485851263667
BTC-USD,Random Forest,MSE,496418.13666800887
BTC-USD,Random Forest,MAE,326.0784532577719
BTC-USD,Random Forest,R2,0.9981003794129073
BTC-USD,Random Forest,MSE,496418.13666800887
BTC-USD,Random Forest,MAE,326.0784532577719
BTC-USD,Random Forest,R2,0.9981003794129073
BTC-USD,Support Vector Regressor,MSE,285322044.9425936
BTC-USD,Support Vector Regressor,MAE,10677.16275969625
BTC-USD,Support Vector Regressor,R2,-0.09182882430986639
BTC-USD,Support Vector Regressor,MSE,285322044.9425936
BTC-USD,Support Vector Regressor,MAE,10677.16275969625
BTC-USD,Support Vector Regressor,R2,-0.09182882430986639
